Key,Source,Context,Changes,English,schinese,Russian
DoublePenetration1,progression,skills,New,"Ignore an additional 3% of armor with firearms, archery and spears. AP rounds penetrate an additional target or a block of up to 250 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略3%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达250额外生命值的阻挡。,"Игнорируйте дополнительные 3% брони при использовании огнестрельного оружия, лука и копья. Бронебойные снаряды пробивают дополнительную цель или блок до 250 дополнительных хит-пойнтов при использовании охотничьих, марксманских или снайперских винтовок".
DoublePenetration2,progression,skills,New,"Ignore an additional 6% of armor with firearms, archery and spears. AP rounds penetrate an additional target or a block of up to 250 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略6%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达250额外生命值的阻挡。,"Игнорируйте дополнительные 6% брони при использовании огнестрельного оружия, лука и копья. Бронебойные снаряды пробивают дополнительную цель или блок до 250 дополнительных хит-пойнтов при использовании охотничьих, марксманских или снайперских винтовок".
DoublePenetration3,progression,skills,New,"Ignore an additional 9% of armor with firearms, archery and spears. AP rounds penetrate two additional targets or blocks of up to 500 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略9%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达500额外生命值的阻挡。,"Игнорируйте дополнительные 9% брони при использовании огнестрельного оружия, лука и копья. Бронебойные снаряды пробивают дополнительную цель или блок до 500 дополнительных хит-пойнтов при использовании охотничьих, марксманских или снайперских винтовок".
DoublePenetration4,progression,skills,New,"Ignore an additional 12% of armor with firearms, archery and spears. AP rounds penetrate two additional targets or blocks of up to 500 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略12%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达500额外生命值的阻挡。,"Игнорируйте дополнительные 12% брони при использовании огнестрельного оружия, лука и копья. Бронебойные снаряды пробивают дополнительную цель или блок до 500 дополнительных хит-пойнтов при использовании охотничьих, марксманских или снайперских винтовок".
DoublePenetration5,progression,skills,New,"Ignore an additional 15% of armor with firearms, archery and spears. AP rounds penetrate three additional targets or blocks of up to 750 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略15%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达750额外生命值的阻挡。,"Игнорируйте дополнительные 15% брони при использовании огнестрельного оружия, лука и копья. Бронебойные снаряды пробивают дополнительную цель или блок до 750 дополнительных хит-пойнтов при использовании охотничьих, марксманских или снайперских винтовок".
DoublePenetration6,progression,skills,New,"Ignore an additional 18% of armor with firearms, archery and spears. AP rounds penetrate three additional targets or blocks of up to 750 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略18%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达750额外生命值的阻挡。,"Игнорируйте дополнительные 18% брони при использовании огнестрельного оружия, лука и копья. Бронебойные снаряды пробивают дополнительную цель или блок до 750 дополнительных хит-пойнтов при использовании охотничьих, марксманских или снайперских винтовок".
DoublePenetration7,progression,skills,New,"'Diggy diggy hole!'\n\nIgnore an additional 25% of armor with firearms, archery and spears. AP rounds penetrate four additional targets or blocks of up to 1000 extra hit points when using Hunting, Marksman or Sniper Rifles.",使用枪械、弓箭和长矛时，额外忽略25%的护甲。\n当使用猎枪、射手步枪或狙击步枪时，AP弹药可以穿透额外的目标，或穿透多达1000额外生命值的阻挡。,"Копайте яму! Игнорируйте дополнительные 25% брони при использовании огнестрельного оружия, лука и копья. Бронебойные снаряды пробивают четыре дополнительные цели или блоки до 1000 дополнительных хит-пойнтов при использовании охотничьих, марксманских или снайперских винтовок".

Loot Gobbo,progression,skills,New,Loot Gobbo,战利品哥布林,Лут Гоббо
LootGobbo0,progression,skills,New,You are mastering the art of looting everything! You are more lucky when looting stuff!,你正在掌握一切战利品的艺术！在搜刮物品时你更加幸运！,"Вы овладеваете искусством лутать все подряд! Вам больше везет, когда вы лутаете вещи!"
LootGobbo1,progression,skills,New,"Adds 3% to loot bonus and quantity. Looting is 1.2% faster.",战利品奖励和数量增加3%\n搜刮速度提高1.2%,Добавляет 3% к бонусу и количеству лута. Лутание происходит на 1.2% быстрее.
LootGobbo2,progression,skills,New,"Adds 6% to loot bonus and quantity. Looting is 2.4% faster.",战利品奖励和数量增加6%\n搜刮速度提高2.4%,Добавляет 6% к бонусу и количеству лута. Лутание происходит на 2.4% быстрее.
LootGobbo3,progression,skills,New,"Adds 9% to loot bonus and quantity. Looting is 3.6% faster.",战利品奖励和数量增加9%\n搜刮速度提高3.6%,Добавляет 9% к бонусу и количеству лута. Лутание происходит на 3.6% быстрее.
LootGobbo4,progression,skills,New,"Adds 12% to loot bonus and quantity. Looting is 4.8% faster.",战利品奖励和数量增加12%\n搜刮速度提高4.8%,Добавляет 12% к бонусу и количеству лута. Лутание происходит на 4.8% быстрее.
LootGobbo5,progression,skills,New,"Adds 15% to loot bonus and quantity. Looting is 6% faster.",战利品奖励和数量增加15%\n搜刮速度提高6%,Добавляет 15% к бонусу и количеству лута. Лутание происходит на 6% быстрее.
LootGobbo6,progression,skills,New,"Adds 18% to loot bonus and quantity. Looting is 7.2% faster.",战利品奖励和数量增加18%\n搜刮速度提高7.2%,Добавляет 18% к бонусу и количеству лута. Лутание происходит на 7.2% быстрее.
LootGobbo7,progression,skills,New,"'WE IS BETTER THAN THEM!!'\n\nAdds 25% to loot bonus and quantity. Looting is 10% faster.",我们比他们更好!\n战利品奖励和数量增加25%\n搜刮速度提高10%,"МЫ ЛУЧШЕ, ЧЕМ ОНИ!!! Добавляет 25% к бонусу и количеству лута. Лутание становится на 10% быстрее."

Crypto,progression,skills,New,Crypto,加密货币,Крипто
Crypto0,progression,skills,New,You are researching the Cryptocurrency market values. Gathering the data. Your bartering Skills increase.,你正在研究加密货币市场价值，收集数据。你的交易技能提升了。,Вы изучаете стоимость криптовалютного рынка. Собираете данные. Ваши навыки бартера растут.
Crypto1,progression,skills,New,"Get a 1.2% better deal buying and selling merchandise with traders.",与商人交易时，购买和出售商品优惠1.2%,Покупка и продажа у продавцов становится на 1.2% выгоднее.
Crypto2,progression,skills,New,"Get a 2.4% better deal buying and selling merchandise with traders.",与商人交易时，购买和出售商品优惠2.4%,Покупка и продажа у продавцов становится на 2.4% выгоднее.
Crypto3,progression,skills,New,"Get a 3.6% better deal buying and selling merchandise with traders.",与商人交易时，购买和出售商品优惠3.6%,Покупка и продажа у продавцов становится на 3.6% выгоднее.
Crypto4,progression,skills,New,"Get a 4.8% better deal buying and selling merchandise with traders.",与商人交易时，购买和出售商品优惠4.8%,Покупка и продажа у продавцов становится на 4.8% выгоднее.
Crypto5,progression,skills,New,"Get a 6% better deal buying and selling merchandise with traders.",与商人交易时，购买和出售商品优惠6%,Покупка и продажа у продавцов становится на 6% выгоднее.
Crypto6,progression,skills,New,"Get a 7.2 better deal buying and selling merchandise with traders.",与商人交易时，购买和出售商品优惠7.2%,Покупка и продажа у продавцов становится на 7.2% выгоднее.
Crypto7,progression,skills,New,"'Since when were you under the impression that CRAB-17 was over?'\n\nGet a 10% better deal buying and selling merchandise with traders.",你从什么时候开始觉得CRAB-17已经结束了?\n与商人交易时，购买和出售商品优惠 10%,"С каких это пор у вас сложилось впечатление, что CRAB-17 закончился? Покупка и продажа у продавцов становится на 10% выгоднее."

Thin Skin,progression,skills,New,Thin Skin,薄弱皮革,Тонкая кожа
ThinSkin0,progression,skills,New,You are mastering your body control while wearing Medium armor. Your movement speed and stamina costs while wearing medium armor decrease.,"你正在练习穿着轻甲时的身体控制。穿着轻甲时，你的移动速度和消耗的体力降低。","Вы осваиваете управление телом, когда носите среднюю броню. Скорость передвижения и затраты выносливости при ношении средней брони уменьшаются."
ThinSkin1,progression,skills,New,"Reduce Medium armor movement penalty by 5% and stamina penalty by 3%.",中型护甲的移动惩罚减少5%，耐力惩罚减少3%,Снижает штраф к передвижению в средней броне на 5% и штраф к выносливости на 3%.
ThinSkin2,progression,skills,New,"Reduce Medium armor movement penalty by 10% and stamina penalty by 6%.",中型护甲的移动惩罚减少10%，耐力惩罚减少6%,Снижает штраф к передвижению в средней броне на 10% и штраф к выносливости на 6%.
ThinSkin3,progression,skills,New,"Reduce Medium armor movement penalty by 15% and stamina penalty by 9%.",中型护甲的移动惩罚减少15%，耐力惩罚减少9%,Снижает штраф к передвижению в средней броне на 15% и штраф к выносливости на 9%.
ThinSkin4,progression,skills,New,"Reduce Medium armor movement penalty by 20% and stamina penalty by 12%.",中型护甲的移动惩罚减少20%，耐力惩罚减少12%,Снижает штраф к передвижению в средней броне на 20% и штраф к выносливости на 12%.
ThinSkin5,progression,skills,New,"Reduce Medium armor movement penalty by 25% and stamina penalty by 15.",中型护甲的移动惩罚减少25%，耐力惩罚减少15%,Снижает штраф к передвижению в средней броне на 25% и штраф к выносливости на 15%.
ThinSkin6,progression,skills,New,"Reduce Medium armor movement penalty by 30% and stamina penalty by 18%.",中型护甲的移动惩罚减少30%，耐力惩罚减少18%,Снижает штраф к передвижению в средней броне на 30% и штраф к выносливости на 18%.
ThinSkin7,progression,skills,New,"'Requiescat in pace.'\n\nReduce Medium armor movement penalty by 40% and the stamina penalty by 25%.",Requiescat in pace. \n中甲的移动惩罚减少40%\n物理惩罚减少25%,Requiescat in pace. Снижает штраф к движению для средней брони на 40% и штраф к выносливости на 25%.

Thick Skin,progression,skills,New,Thick Skin,厚实皮革,Толстая кожа
ThickSkin0,progression,skills,New,You are mastering your body control while wearing heavy armor. Your movement speed and stamina costs while wearing heavy armor decrease.,当你穿着重型盔甲时，你正在掌握你的身体控制。你的移动速度和耐力消耗在穿戴重型盔甲时会降低。,"Вы осваиваете управление телом, когда носите тяжелую броню. Скорость передвижения и затраты выносливости при ношении тяжелой брони уменьшаются."
ThickSkin1,progression,skills,New,"Reduce Heavy armor movement and stamina penalty by 3%.",重甲的移动惩罚和体力惩罚减少3%,Снижает штраф к движению и выносливости тяжелой брони на 3%.
ThickSkin2,progression,skills,New,"Reduce Heavy armor movement and stamina penalty by 6%.",重甲的移动惩罚和体力惩罚减少6%,Снижает штраф к движению и выносливости тяжелой брони на 6%.
ThickSkin3,progression,skills,New,"Reduce Heavy armor movement and stamina penalty by 9%.",重甲的移动惩罚和体力惩罚减少9%,Снижает штраф к движению и выносливости тяжелой брони на 9%.
ThickSkin4,progression,skills,New,"Reduce Heavy armor movement and stamina penalty by 12%.",重甲的移动惩罚和体力惩罚减少12%,Снижает штраф к движению и выносливости тяжелой брони на 12%.
ThickSkin5,progression,skills,New,"Reduce Heavy armor movement and stamina penalty by 15%.",重甲的移动惩罚和体力惩罚减少15%,Снижает штраф к движению и выносливости тяжелой брони на 15%.
ThickSkin6,progression,skills,New,"Reduce Heavy armor movement and stamina penalty by 18%.",重甲的移动惩罚和体力惩罚减少18%,Снижает штраф к движению и выносливости тяжелой брони на 18%.
ThickSkin7,progression,skills,New,"You have mastered the weight of Heavy Armor.\n\nReduce Heavy armor movement and stamina penalty by 25%.",你已经掌握了重甲的重量\n重甲的移动惩罚和体力惩罚减少25%,Вы освоили тяжелую броню. Уменьшите штраф к движению и выносливости тяжелой брони на 25%.

Spartan,progression,skills,New,Spartan,斯巴达,Спартанец
Spartan0,progression,skills,New,"You are mastering the arts of the spear. Your damage, attack speed and throwing range with spears increases.",你正在练习长矛的技艺。你的长矛伤害、攻击速度和投掷距离增加。,"Вы овладеваете искусством владения копьем. Ваш урон, скорость атаки и дальность копья увеличиваются."
Spartan1,progression,skills,New,"Increase your entity damage by 7%, attack speed by 1.2% and bleed chance by 12% while using spears.","使用长矛时，你的实体伤害增加7%,攻击速度增加1.2%,出血几率增加12%。","При использовании копья урон по сущностям увеличивается на 7%, скорость атаки - на 1.2%, а шанс кровотечения - на 12%."
Spartan2,progression,skills,New,"Increase your entity damage by 14%, attack speed by 2.4% and bleed chance by 24% while using spears.","使用长矛时，你的实体伤害增加14%,攻击速度增加2.4%,出血几率增加24%。","При использовании копья урон по сущностям увеличивается на 14%, скорость атаки - на 2.4%, а шанс кровотечения - на 24%."
Spartan3,progression,skills,New,"Increase your entity damage by 21%, attack speed by 3.6% and bleed chance by 36% while using spears.","使用长矛时，你的实体伤害增加21%,攻击速度增加3.6%,出血几率增加36%。","При использовании копья урон по сущностям увеличивается на 21%, скорость атаки - на 3.6%, а шанс кровотечения - на 36%."
Spartan4,progression,skills,New,"Increase your entity damage by 28%, attack speed by 4.8% and bleed chance by 48% while using spears.","使用长矛时，你的实体伤害增加28%,攻击速度增加4.8%,出血几率增加48%。","При использовании копья урон по сущностям увеличивается на 28%, скорость атаки - на 4.8%, а шанс кровотечения - на 48%."
Spartan5,progression,skills,New,"Increase your entity damage by 35%, attack speed by 6% and bleed chance by 60% while using spears.","使用长矛时，你的实体伤害增加35%,攻击速度增加6%,出血几率增加60%。","При использовании копья урон по сущностям увеличивается на 35%, скорость атаки - на 6%, а шанс кровотечения - на 60%."
Spartan6,progression,skills,New,"Increase your entity damage by 42%, attack speed by 7.2% and bleed chance by 72% while using spears.","使用长矛时，你的实体伤害增加42%,攻击速度增加7.2%,出血几率增加72%。","При использовании копья урон по сущностям увеличивается на 42%, скорость атаки - на 7.2%, а шанс кровотечения - на 72%."
Spartan7,progression,skills,New,"'THIS - IS - SPARTAAA!!'\n\nIncrease your entity damage by 50%, attack speed by 10% and bleed chance by 100% while using spears.","THIS - IS - SPARTAAA!!\n使用长矛时，你的实体伤害增加50%,攻击速度增加10%,出血几率增加100%。","ЭТО - СПАРТААА!!! Увеличьте урон по сущностям на 50%, скорость атаки на 10% и шанс кровотечения на 100% при использовании копий."

Clubber,progression,skills,New,Clubber,棍击者,Дубина
Clubber0,progression,skills,New,You are mastering the arts of the club. Your damage and attack speed with clubs increases.,你正在练习棍棒的技巧。你的棍棒伤害和攻击速度增加。,Вы овладеваете искусством владения дубинкой. Ваш урон и скорость атаки дубинками увеличиваются.
Clubber1,progression,skills,New,"Increase your entity damage by 7%. Damage is increased by an additional 12% if you hit a target while sprinting.","你的实体伤害增加7%。奔跑时击中目标,伤害额外增加12%","Увеличивает урон по сущностям на 7%. Урон увеличивается еще на 12%, если вы поражаете цель во время бега."
Clubber2,progression,skills,New,"Increase your entity damage by 14%. Damage is increased by an additional 24% if you hit a target while sprinting.","你的实体伤害增加14%。奔跑时击中目标,伤害额外增加24%","Увеличивает урон по сущностям на 14%. Урон увеличивается еще на 24%, если вы поражаете цель во время бега."
Clubber3,progression,skills,New,"Increase your entity damage by 21%. Damage is increased by an additional 36% if you hit a target while sprinting.","你的实体伤害增加21%。奔跑时击中目标,伤害额外增加36%","Увеличивает урон по сущностям на 21%. Урон увеличивается еще на 36%, если вы поражаете цель во время бега."
Clubber4,progression,skills,New,"Increase your entity damage by 28%. Damage is increased by an additional 48% if you hit a target while sprinting.","你的实体伤害增加28%。奔跑时击中目标,伤害额外增加48%","Увеличивает урон по сущностям на 28%. Урон увеличивается еще на 48%, если вы поражаете цель во время бега."
Clubber5,progression,skills,New,"Increase your entity damage by 35%. Damage is increased by an additional 60% if you hit a target while sprinting.","你的实体伤害增加35%。奔跑时击中目标,伤害额外增加60%","Увеличивает урон по сущностям на 35%. Урон увеличивается еще на 60%, если вы поражаете цель во время бега."
Clubber6,progression,skills,New,"Increase your entity damage by 42%. Damage is increased by an additional 72% if you hit a target while sprinting.","你的实体伤害增加42%。奔跑时击中目标,伤害额外增加72%","Увеличивает урон по сущностям на 42%. Урон увеличивается еще на 72%, если вы поражаете цель во время бега."
Clubber7,progression,skills,New,"You are Cheems with the power of Bonk. Send anyone to horny jail.\n\nIncrease your entity damage by 50%. Damage is increased by an additional 100% if you hit a target while sprinting.","你是Cheems，拥有Bonk的力量。可以把任何人送进涩涩监狱。\n你的实体伤害增加50%。奔跑时击中目标,伤害额外增加100%","Вы обладаете силой Бонка. Отправьте любого в хорни тюрьму. Увеличивает урон по сущностям на 50%. Урон увеличивается еще на 100%, если вы поражаете цель во время бега."

Hammerer,progression,skills,New,Hammerer,锤击者,Молотобоец
Hammerer0,progression,skills,New,You are mastering the arts of the sledgehammer.,你正在练习大锤的技术,Вы овладеваете искусством кувалды.
Hammerer1,progression,skills,New,"Increase your entity damage with sledgehammers by 12% and block damage by 20%.","使用大锤时,你的实体伤害增加12%,物块伤害增加20%。",Увеличивает урон от кувалд на 12% и урон по блокам на 20%.
Hammerer2,progression,skills,New,"Increase your entity damage with sledgehammers by 24% and block damage by 40%.","使用大锤时,你的实体伤害增加25%,物块伤害增加40%。",Увеличивает урон от кувалд на 24% и урон по блокам на 40%.
Hammerer3,progression,skills,New,"Increase your entity damage with sledgehammers by 36% and block damage by 60%.","使用大锤时,你的实体伤害增加36%,物块伤害增加60%。",Увеличивает урон от кувалд на 36% и урон по блокам на 60%.
Hammerer4,progression,skills,New,"Increase your entity damage with sledgehammers by 48% and block damage by 80%.","使用大锤时,你的实体伤害增加48%,物块伤害增加80%。",Увеличивает урон от кувалд на 48% и урон по блокам на 80%.
Hammerer5,progression,skills,New,"Increase your entity damage with sledgehammers by 60% and block damage by 100%.","使用大锤时,你的实体伤害增加60%,物块伤害增加100%。",Увеличивает урон от кувалд на 60% и урон по блокам на 100%.
Hammerer6,progression,skills,New,"Increase your entity damage with sledgehammers by 72% and block damage by 120%.","使用大锤时,你的实体伤害增加72%,物块伤害增加120%。",Увеличивает урон от кувалд на 72% и урон по блокам на 120%.
Hammerer7,progression,skills,New,"Bring me my hammer!\n\nIncrease your entity damage with sledgehammers by 75% and block damage by 150%.","你是Bob the Builder的邪恶孪生兄弟！\n使用大锤时,你的实体伤害增加75%,物块伤害增加150%。","Вы - злой брат-близнец Боба-строителя! Увеличьте урон, наносимый кувалдами, на 75%, а урон по блокам - на 150%."

Tinkerer,progression,skills,New,Tinkerer,工匠,Подручный
Tinkerer0,progression,skills,New,You are mastering the use of tools. You are dealing more damage to blocks and work faster.,你正在掌握工具的使用。你对方块造成的伤害增加，且工作速度更快。,Вы осваиваете использование инструментов. Вы наносите больше урона блокам и работаете быстрее.
Tinkerer1,progression,skills,New,"Increase tool damage by 7% and block damage by 10%. Decrease the damage you receive through falling blocks by 7% while wearing tools.","工具伤害增加7%,物块伤害增加10%\n穿戴工具时，你受到的坠落方块伤害减少7%。","Увеличивает урон от инструментов на 7% и урон по блокам на 10%. Уменьшите урон, получаемый от падающих блоков, на 7%, пока держите инструмент."
Tinkerer2,progression,skills,New,"Increase tool damage by 14% and block damage by 20%. Decrease the damage you receive through falling blocks by 14% while wearing tools.","工具伤害增加14%,物块伤害增加20%\n穿戴工具时，你受到的坠落方块伤害减少14%。","Увеличивает урон от инструментов на 14% и урон по блокам на 20%. Уменьшите урон, получаемый от падающих блоков, на 14%, пока держите инструмент."
Tinkerer3,progression,skills,New,"Increase tool damage by 21% and block damage by 30%. Decrease the damage you receive through falling blocks by 21% while wearing tools.","工具伤害增加21%,物块伤害增加30%\n穿戴工具时，你受到的坠落方块伤害减少21%。","Увеличивает урон от инструментов на 21% и урон по блокам на 30%. Уменьшите урон, получаемый от падающих блоков, на 21%, пока держите инструмент."
Tinkerer4,progression,skills,New,"Increase tool damage by 28% and block damage by 40%. Decrease the damage you receive through falling blocks by 28% while wearing tools.","工具伤害增加28%,物块伤害增加40%\n穿戴工具时，你受到的坠落方块伤害减少28%。","Увеличивает урон от инструментов на 28% и урон по блокам на 40%. Уменьшите урон, получаемый от падающих блоков, на 28%, пока держите инструмент."
Tinkerer5,progression,skills,New,"Increase tool damage by 35% and block damage by 50%. Decrease the damage you receive through falling blocks by 35% while wearing tools.","工具伤害增加35%,物块伤害增加50%\n穿戴工具时，你受到的坠落方块伤害减少35%。","Увеличивает урон от инструментов на 35% и урон по блокам на 50%. Уменьшите урон, получаемый от падающих блоков, на 35%, пока держите инструмент."
Tinkerer6,progression,skills,New,"Increase tool damage by 42% and block damage by 60%. Decrease the damage you receive through falling blocks by 42% while wearing tools.","工具伤害增加42%,物块伤害增加60%\n穿戴工具时，你受到的坠落方块伤害减少42%。","Увеличивает урон от инструментов на 42% и урон по блокам на 60%. Уменьшите урон, получаемый от падающих блоков, на 42%, пока держите инструмент."
Tinkerer7,progression,skills,New,"You would make Perrin proud!\n\nIncrease tool damage by 50% and block damage by 75%. Decrease the damage you receive through falling blocks by 50% while wearing tools.","你是你朋友妻子的工匠\n工具伤害增加50%,物块伤害增加75%\n穿戴工具时，你受到的坠落方块伤害减少50%",Вы - мастер на все руки жены вашего друга. Увеличивает урон от инструментов на 50% и урон по блокам на 75%. Уменьшите урон от падающих блоков на 50%, пока держите инструмент."

Martial Arts,progression,skills,New,Martial Arts,武术,Боевые искусства
MartialArts0,progression,skills,New,You are mastering the martial arts. Your damage and overall speed increase while using fists and knuckles.,你正在练习武术技艺。使用拳头和指节时，你的伤害和整体速度增加。,Вы овладеваете боевыми искусствами. Ваш урон и общая скорость увеличиваются при использовании кулаков и кастетов.
MartialArts1,progression,skills,New,"Increase your chance to explode heads by 1.2% and your attack and movement speed with fists and knuckles by 3%.",你的爆头概率增加1.2%，并且你拳头和指节的攻击速度和移动速度提高3%,"Увеличивает шанс разрывать головы на 1.2%, а скорость атаки и передвижения с помощью кулаков и кастетов - на 3%."
MartialArts2,progression,skills,New,"Increase your chance to explode heads by 2.4% and your attack and movement speed with fists and knuckles by 6%.",你的爆头概率增加2.4%，并且你拳头和指节的攻击速度和移动速度提高6%,"Увеличивает шанс разрывать головы на 2.4%, а скорость атаки и передвижения с помощью кулаков и кастетов - на 6%."
MartialArts3,progression,skills,New,"Increase your chance to explode heads by 3.6% and your attack and movement speed with fists and knuckles by 9%.",你的爆头概率增加3.6%，并且你拳头和指节的攻击速度和移动速度提高9%,"Увеличивает шанс разрывать головы на 3.6%, а скорость атаки и передвижения с помощью кулаков и кастетов - на 9%."
MartialArts4,progression,skills,New,"Increase your chance to explode heads by 4.8% and your attack and movement speed with fists and knuckles by 12%.",你的爆头概率增加4.8%，并且你拳头和指节的攻击速度和移动速度提高12%,"Увеличивает шанс разрывать головы на 4.8%, а скорость атаки и передвижения с помощью кулаков и кастетов - на 12%."
MartialArts5,progression,skills,New,"Increase your chance to explode heads by 6% and your attack and movement speed with fists and knuckles by 15%.",你的爆头概率增加6%，并且你拳头和指节的攻击速度和移动速度提高15%,"Увеличивает шанс разрывать головы на 6%, а скорость атаки и передвижения с помощью кулаков и кастетов - на 15%."
MartialArts6,progression,skills,New,"Increase your chance to explode heads by 7.2% and your attack and movement speed with fists and knuckles by 18%.",你的爆头概率增加7.2%，并且你拳头和指节的攻击速度和移动速度提高18%,"Увеличивает шанс разрывать головы на 7.2%, а скорость атаки и передвижения с помощью кулаков и кастетов - на 18%."
MartialArts7,progression,skills,New,"You are the Fist of the North Star.\n\nIncrease your chance to explode heads by 10% and your attack and movement speed with fists and knuckles by 25%.",你是北斗神拳。\n你的爆头概率增加10%，并且你拳头和指节的攻击速度和移动速度提高25%,"Вы - Кулак Полярной звезды. Увеличивает шанс разорвать голову на 10%, а скорость атаки и передвижения с помощью кулаков и кастетов - на 25%."

Blademaster,progression,skills,New,Blademaster,剑术大师,Фехтовальщик
Blademaster0,progression,skills,New,You are mastering the arts of the blade. Your attack speed and bleeding stacks increase.,你正在掌握刀剑之道。你的攻击速度和出血效果叠加次数增加。,Вы овладеваете искусством клинка. Скорость вашей атаки и стаки кровотечения увеличиваются.
Blademaster1,progression,skills,New,"Increase your attack speed by 7% with bladed weapons. Increase the maximum stacks of bleed you can apply by 1.",使用刀剑武器时，攻击速度增加7%。最大出血叠加层数+1,"Увеличивает скорость атаки на 7% при использовании клинкового оружия. Увеличьте максимальное количество стаков кровотечения, которое вы можете применить, на 1."
Blademaster2,progression,skills,New,"Increase your attack speed by 14% with bladed weapons. Increase the maximum stacks of bleed you can apply by 2.",使用刀剑武器时，攻击速度增加14%。最大出血叠加层数+2,"Увеличивает скорость атаки на 14% при использовании клинкового оружия. Увеличьте максимальное количество стаков кровотечения, которое вы можете применить, на 2."
Blademaster3,progression,skills,New,"Increase your attack speed by 21% with bladed weapons. Increase the maximum stacks of bleed you can apply by 3.",使用刀剑武器时，攻击速度增加21%。最大出血叠加层数+3,"Увеличивает скорость атаки на 21% при использовании клинкового оружия. Увеличьте максимальное количество стаков кровотечения, которое вы можете применить, на 3."
Blademaster4,progression,skills,New,"Increase your attack speed by 28% with bladed weapons. Increase the maximum stacks of bleed you can apply by 4.",使用刀剑武器时，攻击速度增加28%。最大出血叠加层数+4,"Увеличивает скорость атаки на 28% при использовании клинкового оружия. Увеличьте максимальное количество стаков кровотечения, которое вы можете применить, на 4."
Blademaster5,progression,skills,New,"Increase your attack speed by 35% with bladed weapons. Increase the maximum stacks of bleed you can apply by 5.",使用刀剑武器时，攻击速度增加35%。最大出血叠加层数+5,"Увеличивает скорость атаки на 35% при использовании клинкового оружия. Увеличьте максимальное количество стаков кровотечения, которое вы можете применить, на 5."
Blademaster6,progression,skills,New,"Increase your attack speed by 42% with bladed weapons. Increase the maximum stacks of bleed you can apply by 6.",使用刀剑武器时，攻击速度增加42%。最大出血叠加层数+6,"Увеличивает скорость атаки на 42% при использовании клинкового оружия. Увеличьте максимальное количество стаков кровотечения, которое вы можете применить, на 6."
Blademaster7,progression,skills,New,"The warlocks of the Blackrock clan have spoken!\n\nIncrease your attack speed by 50% with bladed weapons. Increase the maximum stacks of bleed you can apply by 7.",The warlocks of the Blackrock clan have spoken!\n使用刀剑武器时，攻击速度增加50%。最大出血叠加层数+7,"Колдуны клана Чёрной горы вещают! Увеличьте скорость атаки на 50% при использовании клинкового оружия. Увеличьте максимальное количество стаков кровотечения, которое вы можете наложить, на 7."

Enforcer,progression,skills,New,Enforcer,执法者,Телохранитель
Enforcer0,progression,skills,New,"You are mastering the arts of the baton. What you say, goes. Increase your entity damage and chance to knock down with batons.","你正在练习警棍的技巧,增加你使用警棍的实体伤害和击倒几率。","Вы овладеваете искусством жезла. Что вы говорите, то и происходит. Повысьте урон по сущностям и шанс сбить с ног с помощью жезлов."
Enforcer1,progression,skills,New,"Increase your entity damage with stun batons by 12% and an additional 7% chance to knock down enemies.",眩晕棒实体伤害增加12%，7%的几率击倒敌人,"Увеличивает урон, наносимый оглущающими жезлами, на 12% и дает дополнительный шанс на 7% сбить врагов с ног."
Enforcer2,progression,skills,New,"Increase your entity damage with stun batons by 24% and an additional 14% chance to knock down enemies.",眩晕棒实体伤害增加24%，14%的几率击倒敌人,"Увеличивает урон, наносимый оглущающими жезлами, на 24% и дает дополнительный шанс на 14% сбить врагов с ног."
Enforcer3,progression,skills,New,"Increase your entity damage with stun batons by 36% and an additional 21% chance to knock down enemies.",眩晕棒实体伤害增加36%，21%的几率击倒敌人,"Увеличивает урон, наносимый оглущающими жезлами, на 36% и дает дополнительный шанс на 21% сбить врагов с ног."
Enforcer4,progression,skills,New,"Increase your entity damage with stun batons by 48% and an additional 28% chance to knock down enemies.",眩晕棒实体伤害增加48%，28%的几率击倒敌人,"Увеличивает урон, наносимый оглущающими жезлами, на 48% и дает дополнительный шанс на 28% сбить врагов с ног."
Enforcer5,progression,skills,New,"Increase your entity damage with stun batons by 60% and an additional 35% chance to knock down enemies.",眩晕棒实体伤害增加60%，35%的几率击倒敌人,"Увеличивает урон, наносимый оглущающими жезлами, на 60% и дает дополнительный шанс на 35% сбить врагов с ног."
